,f2,prec,rec,f1,dld
imp_players-set_ftrs-euclidean_sim-median_reuse,47.81,45.91,48.31,47.08,17.41
imp_players-set_ftrs-euclidean_sim-median_reuse-pop,47.50,45.61,48.00,46.78,18.44
imp_players-set_ftrs-euclidean_sim-median_reuse-tpop,46.65,45.00,47.08,46.02,19.82
imp_players-set_ftrs-euclidean_sim-median_reuse-week,43.02,42.81,43.08,42.94,15.79
imp_players-set_ftrs-euclidean_sim-median_reuse-stands,51.79,52.17,51.69,51.93,18.78
imp_players-set_ftrs-euclidean_sim-median_reuse-pop-tpop,46.68,46.34,46.77,46.55,15.94
imp_players-set_ftrs-euclidean_sim-median_reuse-stands-week,46.04,45.59,46.15,45.87,18.93
imp_players-set_ftrs-euclidean_sim-median_reuse-pop-tpop-stands-week,45.12,44.68,45.23,44.95,15.83
